Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,FEM Power?,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power
254,E,217,359,1,332,C113,e2,0,dish_maintenance,,,,,,,
254,N,217,359,1,332,C113,n0,0,dish_maintenance,,,,,,,
255,E,218,409,2,333,C113,e6,0,RF_maintenance,N: low optical power at node -1.9,,,,,,
255,N,218,409,2,333,C113,n4,0,RF_maintenance,,,,,,,
256,E,255,54,3,334,C113,e10,0,RF_maintenance,,,,,,,
256,N,255,54,3,334,C113,n8,0,RF_maintenance,,,,,,,
272,E,249,383,4,335,C121,e2,1,RF_maintenance,,,,,,,
272,N,249,383,4,335,C121,n0,1,RF_maintenance,,,,,,,
273,E,250,332,5,336,C121,e6,1,dish_maintenance,,,,,,,
273,N,250,332,5,336,C121,n4,1,dish_maintenance,,,,,,,
257,E,267,15,6,337,C121,e10,1,dish_maintenance,,,,,,,
257,N,267,15,6,337,C121,n8,1,dish_maintenance,,,,,,,
284,E,230,139,7,338,C124,e2,2,dish_maintenance,,,,,,,
284,N,230,139,7,338,C124,n0,2,dish_maintenance,,,,,,,
285,E,231,391,8,339,C124,e6,2,RF_maintenance,,,,,,,
285,N,231,391,8,339,C124,n4,2,RF_maintenance,,,,,,,
286,E,236,333,9,340,C124,e10,2,dish_maintenance,,,,,,,
286,N,236,333,9,340,C124,n8,2,dish_maintenance,,,,,,,
287,E,269,242,10,341,C129,e2,3,dish_maintenance,,,,,,,
287,N,269,242,10,341,C129,n0,3,dish_maintenance,,,,,,,
270,E,237,390,11,342,C129,e6,3,RF_maintenance,,,,,,,
270,N,237,390,11,342,C129,n4,3,RF_maintenance,,,,,,,
271,E,238,,12,190,C129,e10,3,dish_maintenance,,,,,,,
271,N,238,,12,190,C129,n8,3,dish_maintenance,,,,,,,
#END,,,,,,,,,,,,,,,,
NCM,19,,,,,,,,,,,,,,,
FPS,26,,,,,,,,,,,,,,,
PCH,24,,,,,,,,,,,,,,,
